0_x,0_vx,1_x,1_vx,2_x,2_vx
1.0,5.0,5.0,-2.0,3.0,1.0
1.05,5.0,4.98,-2.0,3.01,1.0
1.1,5.0,4.99,1.0,2.9899999999999998,-2.0
1.1500000000000001,5.0,4.970000000000001,1.0,2.9999999999999996,-2.0
1.2000000000000002,5.0,4.98,-2.0,2.9799999999999995,1.0
1.2500000000000002,5.0,4.960000000000001,-2.0,2.9899999999999993,1.0
1.3000000000000003,5.0,4.970000000000001,1.0,2.9699999999999993,-2.0
1.3500000000000003,5.0,4.950000000000001,1.0,2.979999999999999,-2.0
1.4000000000000004,5.0,4.960000000000001,-2.0,2.959999999999999,1.0
1.4500000000000004,5.0,4.940000000000001,-2.0,2.969999999999999,1.0
1.5000000000000004,5.0,4.950000000000001,1.0,2.949999999999999,-2.0
1.5500000000000005,5.0,4.9300000000000015,1.0,2.9599999999999986,-2.0
1.6000000000000005,5.0,4.940000000000001,-2.0,2.9399999999999986,1.0
1.6500000000000006,5.0,4.920000000000002,-2.0,2.9499999999999984,1.0
1.7000000000000006,5.0,4.9300000000000015,1.0,2.9299999999999984,-2.0
1.7500000000000007,5.0,4.910000000000002,1.0,2.939999999999998,-2.0
1.8000000000000007,5.0,4.920000000000002,-2.0,2.919999999999998,1.0
1.8500000000000008,5.0,4.900000000000002,-2.0,2.929999999999998,1.0
1.9000000000000008,5.0,4.910000000000002,1.0,2.909999999999998,-2.0
1.9500000000000008,5.0,4.890000000000002,1.0,2.9199999999999977,-2.0
1.9600000000000009,1.0,4.940000000000002,-2.0,2.8999999999999977,1.0
1.9400000000000008,1.0,4.950000000000002,-2.0,2.9499999999999975,1.0
1.9200000000000008,-2.0,5.000000000000002,1.0,2.9599999999999973,-2.0
1.9000000000000008,-2.0,5.010000000000002,1.0,3.009999999999997,-2.0
1.8800000000000008,-2.0,5.060000000000001,-2.0,3.019999999999997,1.0
1.8600000000000008,-2.0,5.070000000000001,-2.0,3.0699999999999967,1.0
1.8400000000000007,-2.0,5.120000000000001,1.0,3.0799999999999965,-2.0
1.8200000000000007,-2.0,5.130000000000001,1.0,3.1299999999999963,-2.0
1.8000000000000007,-2.0,5.180000000000001,-2.0,3.139999999999996,1.0
1.7800000000000007,-2.0,5.19,-2.0,3.189999999999996,1.0
1.7600000000000007,-2.0,5.24,1.0,3.1999999999999957,-2.0
1.7400000000000007,-2.0,5.25,1.0,3.2499999999999956,-2.0
1.7200000000000006,-2.0,5.3,-2.0,3.2599999999999953,1.0
1.7000000000000006,-2.0,5.31,-2.0,3.309999999999995,1.0
1.6800000000000006,-2.0,5.359999999999999,1.0,3.319999999999995,-2.0
1.6600000000000006,-2.0,5.369999999999999,1.0,3.3699999999999948,-2.0
1.6400000000000006,-2.0,5.419999999999999,-2.0,3.3799999999999946,1.0
1.6200000000000006,-2.0,5.429999999999999,-2.0,3.4299999999999944,1.0
1.6000000000000005,-2.0,5.479999999999999,5.0,3.439999999999994,5.0
1.5800000000000005,-2.0,5.489999999999998,5.0,3.489999999999994,-2.0
1.5600000000000005,-2.0,5.539999999999998,1.0,3.499999999999994,-2.0
1.5400000000000005,-2.0,5.549999999999998,1.0,3.5499999999999936,1.0
1.5200000000000005,-2.0,5.599999999999998,5.0,3.5599999999999934,5.0
1.5000000000000004,-2.0,5.609999999999998,5.0,3.609999999999993,5.0
1.4800000000000004,-2.0,5.6599999999999975,1.0,3.619999999999993,1.0
1.4600000000000004,-2.0,5.669999999999997,1.0,3.669999999999993,1.0
1.4400000000000004,-2.0,5.719999999999997,5.0,3.6799999999999926,5.0
1.4200000000000004,-2.0,5.729999999999997,5.0,3.7299999999999924,5.0
1.4000000000000004,-2.0,5.779999999999997,1.0,3.739999999999992,1.0
1.3800000000000003,-2.0,5.7899999999999965,1.0,3.789999999999992,1.0
1.3600000000000003,-2.0,5.839999999999996,5.0,3.799999999999992,5.0
1.3400000000000003,-2.0,5.849999999999996,5.0,3.8499999999999917,5.0
1.3200000000000003,-2.0,5.899999999999996,1.0,3.8599999999999914,1.0
1.3000000000000003,-2.0,5.909999999999996,1.0,3.9099999999999913,1.0
1.2800000000000002,-2.0,5.9599999999999955,5.0,3.919999999999991,5.0
1.2600000000000002,-2.0,5.969999999999995,5.0,3.969999999999991,5.0
